Title,Company,Location,Skills,Salary,Description,Apply Link
Lighting Systems Project Manager,Heartland Scenic Studio,"Heartland Scenic StudioOmaha, NE 68110",Not listed,"$52,000 - $55,000 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZrfVaIgMlMe2eiEpGdsHdMpS5XNAb0K_KSG08vZuE3ej0CB9Z4CKQBLvg26xAo0Uq4WODQKpZ6MP9NsJhDZdIdEn--ppywK3_XK3ITPZTEVv9YJQn-UcBOzmY4Ba8wCi_e5W3ILV90ip0NXXk-MrQD586cuN92i_w5w77BXQL3Euw7dXW_tjjJD_nRODqofhSQm3nbluB47xudxnL__9Y2bR6U9SwNJqz6748Y9Q9tKaa5Q-qIcXd8wJtI3mygu7UmcnNzJLKExRne6TRwuQNwTKCgmXEAU7W3BV0MmM7vmUkkPYCTcCW9pHQ1P077NY0qlQuMIiHj8I0IEQnBLy7Vd-02yfIaeLlmpelxnw-0Hsq9UXsaPnhz-Oih1VRrZBPlSsUKMsAWhOoUm8Nfndgq4bgRWEX-9wdrVeVBb8PL964VuIi24PmpddqxQkkJc-VdfXhDtKFwcU8ka6fI5-FizkRHijuww7b5SsiScPW38r7vEwwitB_GxGd623HaO0DmdeEvDcRqwqM2JnLLgpJJt0k6rk0lizsSjR5h93B_3dj0REGFy8N3jIJS70h-rtVWXUV74reIfX4bXq8uxIi7qicEEJ54zQ69fkI1uG5po51vO-3dOHI5J4q91ZZRbk=&xkcb=SoCT6_M3E7y87vSsKB0LbzkdCdPP&camk=4HOcmqOLYrC6xVVfVoA3lQ==&p=0&fvj=1&vjs=3
Sports Writer,Daily American Republic,"Daily American RepublicPoplar Bluff, MO 63901",Not listed,"From $36,000 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpykLdxnvHeks-qLVtNzeWNviWSprMyBgRx4qv8IanUMOLzuOBuInopJEdTi8AKYkIs1mhcSzvuuIE_9a3b5gtXA--RCf25CxDxCQDgWItthUh7-UmjJ1nCvXaFMffcr3HeM34jm3TUFQUIbgJmIG7V1yirVVwutrkWzoEDjT53yBuy7Xdah82s22rrP-lIsApvuC6UbPE46DrIFIdI3WlGIPF-JbaSmvtW_YTwXK4XgYyZ1P0EJCUlXxlGPW9ufLcqWFS8qJDuVVF3Xs-fFt5xcR8-uvxca8b9PiTZlel89ZwbDV6OAOFLQHxKq6_KM-984i3qDzZri7Sqb8qXXkXsRGqKxSZmaA_bHtYSoGRMthhHwRaR_Uxmhh_uTk3kBOQwAfn-dDV2HktBQf4pTpWCQL87a0g_7I2IOxEiLSUCAd_l0dIGxdwbj6ihLS8nzXg_o1n9gxDsf1E5ZHWEPVjQuwwKhHusemoEVdGuXD0dAtO4YnrZChcpky_E-BAi2-rQLuAnTWLcOmh_GQgB-OZKWhTT-8gSMDSRVGIM4vLFT6y59d_zKw9ZQE_9C7qo02Ac-dDYiTquKj76N4F3IMYuPCI8RbZWBTXvtzADIoeIkxWDZ4VsxC4&xkcb=SoAn6_M3E7y87vSsKB0KbzkdCdPP&camk=4HOcmqOLYrApHjGj1SLfmQ==&p=1&fvj=1&vjs=3
Social Media Specialist,All Flavors Catering,"All Flavors CateringHybrid remote in Houston, TX 77095",Not listed,$16 - $20 an hour,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCEDE-qArQkZ5pbpRA4dKpESLKzG99_NZReET_uoI7fPXLxJBFRfxxvOiJj8kgWtgyigcz-ya9PMpo0qoGCi_a3Yx78-JqGW2MIPxBt7SKFua961NNSXtYOqxbi38oDLzgYgBjMAAM-L0QlO6NGf08NjbTb4tYLwcT31T4AlAdYoAuuZu5T0_5SmyhcTnNi3_VU9Rs_y5gs53tAcP6nNKS--DeJ38MgZwovx_Luad_ImEz9d9OM1vEh9zayHfp7FHYgzQcYqpyXF6B-HugvM2S5WmqE1v5M8vbSsT7QMFRuWAm6cB8HZfX00U9-PENzxm66KiRFif_mno9Gtp6anW2alFbPqPUWr2p14wQ159G_Yj2EAnmvI2HCuP7E1yAm41xbMCAPs25h6hanXwpdH3Ru0tfwfCw1LjQON93GsYZ2coOIzDZNlTHINPy61BL6e1wWiGv3QtHHVkuYhb6nYl8R4oU6uzvBNEfGi_TQhEpIya3EXhvoqGctQhYZiTpaB1Lmngou2zDZrLpXwjg9-q7_ydNxPPHklCct-Wrz_k4tlHOGL0updZ6g_aLZ052rralYJbYfthFOykOjI4RkgQD3Dw0YFA6S54Fs_XiJqN6Ng==&xkcb=SoC66_M3E7y87vSsKB0JbzkdCdPP&camk=4HOcmqOLYrAFUrsSIfqp-g==&p=2&fvj=1&vjs=3
Social Media Manager,Red Carpet Dating,Red Carpet DatingRemote,Not listed,"From $2,600 a month",Not listed,https://www.indeed.com/rc/clk?jk=d70fac90b9c1c9d7&bb=tUTtLuNxgyMexxqgBXC7-nJVNpG_YqMCGpd-wmzaJUMdnr5ozR49Nqwix4DUMRAj79ewixlUM_HlvNq7-9tkuK_yDMo0f0pPW7sRcrko-1M%3D&xkcb=SoD667M3E7y87vSsKB0IbzkdCdPP&fccid=8a7b92d47c536341&cmp=Red-Carpet-Dating&ti=Social+Media+Manager&vjs=3
Social Media Manager,Drunken Cookies,"Drunken CookiesSan Juan, PR 00901 (Old San Juan area)",Not listed,$12 an hour,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BjWlJ6aDpvZLhDUJaalAjw17cJw9p_EfCiyrrxtOnkNMnPI87hbAttKRWX_sZ-0jIFBj7Elp3IDFDDWNct1poGvRwar3kPg8h1D9By1JZVA4VmMsxKKgOh5LikorRQ2-xjU8Pp2TztwjfUKW3YGrPuIU3I6y12MoleMLgGREcb8jE2yocAc-n8xOW_gDdWYuNfe-BX7WL3gZ69h9vLXOyMa6cS4x2B6tryClhCwRzxUCGZlAZzG60A1_33BoURku9u6eWafuSu5TKsSSLKPx5CdqFVlmTldySvZ-Q8SVFLXz6dYBLc6AI8gU9a8r6evtYoh13wOiciFh4maLMcZt1ouYu1pfIwauk4o58Bk3M8TwiwI0YGVxSrfpCf7mjkqynZ7xWCsngwIqP4l5MmZyAT7k3KXWQxriHzDjMBXth1CnF_LUKGBnszg33fmBFj7oxc-EIbkd8lYDQ4eCJrozTEqxhWEyGfhMJOwjuyjUO-ncYse5QXX08Tobyagl7lr9GoHtcyxw-Llkom_grUoQcwGCmuje9DbNgc0eGK7Hc2eYPUS2webt7Vgb7WxcHD97zcRjan9dABVdiBVkiJnqYNaM0h-27C5H0=&xkcb=SoCA6_M3E7y87vSsKB0PbzkdCdPP&camk=4HOcmqOLYrA-xfGLh5XOFA==&p=4&fvj=1&vjs=3
Digital Media Specialist,NewGen Marketing,"NewGen Marketing5.0Hybrid remote in Tampa, FL 33607",Not listed,"$45,085 - $55,104 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AqTb13YxH-yY7Z-HKxeRWgarlxAZwOTWM20IneHS_c_pNLyZqx9AJBSdkhyTg0oPaeq8Ocgfo4F5Tzd9q7sIbMaiBOPvZjJo3oGtXn7Z-Jz414fxK6m-VUd2bucu9Zrxcauu4nnxQ6oCkU2sorOi5lsSPQKjLddI4W_2gmDJvK1agWfSPCROxmZAPRUB7IKqGNWk1XaEWs1zfMg4gJZXKO-dv5kH3sYNhtjCOYq4NCCw0GCLJExZt1hI9wgAOarAa-DJghI_8jdMC6k4CCiWw2JBEwbD7kLpnI4gPxpm3kq9LDPHDgviKjfq2g-EzVLG6uK7gx_yH41-HKtXacfOFRDv0Ve-ycIw7giaHlcShgiPwmPXat-jnD_YxisXsy2XTr0P0-HcwuGvYEsoHJKL-iFA_pVCFzY2ikzYPZbbTORjB2Pr1roH6jDLVZ3My6JCYYIPZbn-LzEJEx5DoF4dTO-2OGJC4xO7bzIOSAkLVoUMZIat--0Bv49XoAcz32-zswuZRz3iB5HTgSzJZftO-8BG_URfFBbjZIL17M5uIad6EIZ5F2KHYFJQR9groo9szmuwBdclff6Z1usk5z5LcPlB-KVNVVTwWh8ToWzh1_3g==&xkcb=SoA06_M3E7y87vSsKB0ObzkdCdPP&camk=4HOcmqOLYrCeyb41hAfuYA==&p=5&fvj=1&vjs=3
Personal Assistant/Social Media Assistant,Confidential,"ConfidentialHouston, TX",Not listed,$22 - $25 an hour,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQC4J9h95XTBzdKqcBtlvjgdznTeH5LQwprdO8-DvpKaICfbGvF9PYK9WmXEDIQiztIJKV6aEx-d37UZjyas1d86ktaEAh1bw7ewidYsyz9Yg5wQiyuCWZdi53w3xk6ZE-4n4yN8_6860MbHu4yTLnFNdw6ebT9BjFFLG5MsUm4MRH5xuIOficPYsnASBhcqBtlucxxFb2vAQCpGofkF9oixG4Uw3_ssvf1cSbezJgIfkvEdlQr4bafQ_KkAO1NAY2Iy0-Pj2XlhZGcM4Tab8CXgj3IReZ8MEBfaYUI3IOfN1MMxMjAKACfvjoknDiLrtb9BoN9VRaR3vSUQZpHp6wpSuYQ5VIyCsuNbtHwPw9nmZvRiWyBp0dG0FO55H1m79aw2NhYGEKsMrNFqKIVNMSOqDxEN7GZcEIvuabAtcP3ONi-8qn4ELGL2tHUFhRe4AzaOAdFksMcfeTAuGQMFwHASWUUs37QedhPw1fpAzJgfJJv0dUSuMesytR9b2crm_aIq4yj397GIeK5x-bnvVIfJYPk0wtu8dq63RoCLFWi1ajTvUrE4VdJKYMkGQXXDPvI8gMSMqWme4K2sPVfYM5ZadKxBHNuBX86i2dV0_9jgDBl94wTmPzRE-E2Ce7Pd0FBKfUpiqJYA==&xkcb=SoCp6_M3E7y87vSsKB0NbzkdCdPP&camk=4HOcmqOLYrDTlcBxF1OtOQ==&p=6&fvj=1&vjs=3
Hebrew Fluent Tech Study Technician: Voice Recording Moderator - ASAP,Wireless Testing Solutions,"Wireless Testing SolutionsAventura, FL",Not listed,$20 an hour,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bg9IXuhKL7hs-_8DDBqh64tGlOqT78Knmh6Imb-S9RXrX2Z7MPbyYYXffK1r9fJyGiEhwXgSs1CvMr3HY2OnixfjCM4oaPCsWOerMreFvxnqMS2hExox8-I64WY4IRu3xWGZRLgVOgMk5ZE5uDsyH3aFWZEapQr_RFZdsLe20AZ8voZ1UfdMj1G0PghmJB6yhNgDhp5hDq366IqizLNLTIcl7FuvleiFR5vpYpq4vusLl8aNLcFyMGmS0CdqE1JODW-fcRKHLMUZzh0YXinxSfvwMTWSbG15cQl59uOVNr_y1QTrk5lGJAYl12P1iaNuaV0RczXT0Iygapk3ANgDOX9lfw-gnu0dTWNrD3UoGA4og36GKVeFt-LMhc-qoEZPJgnHnPOSlhixmIsWRAbyR-bDnOdy2W4YvNgIM9bxrPmszH1N9s3niwOl0WuUhpIkrIOcpFcjuMMctzXzX_gXKLIQUI3UDFUXjq_6PaytqrxrfRiotroCALbqCgAC9ATCjVImUfQwMgWMhyt8G4oBQ-F0MKcN7alLajwiujVbxSoyx3TbhGCdKqqmKZgeFKCTxLIDY-Np_mS5UGviCiW1aKHy7noMTYKFun7hS1--XueJmqf-lvOXW6BMeLDsBHt1fdpTJpoY-Kp2EmlxeDLf2uastg3XE-PV7kPalNYRzlKw==&xkcb=SoAd6_M3E7y87vSsKB0MbzkdCdPP&camk=4HOcmqOLYrCMqLiRvJBUwg==&p=7&fvj=1&vjs=3
Social Media Marketing (Tik Tok),Bingo Loco,"Bingo LocoHybrid remote in New York, NY 10007Park Place",Not listed,From $20 an hour,Not listed,https://www.indeed.com/rc/clk?jk=4ee5fb286908d07a&bb=tUTtLuNxgyMexxqgBXC7-qOeblXanPwcEyMWOigEW96v7CWE3OcPJlC-4ripWIa28RvRWJN5SsHGWyepwmaoaB_YuAkBFEldGYg2_KIp8Iqc0idtFLkTYg%3D%3D&xkcb=SoAA67M3E7y87vSsKB0DbzkdCdPP&fccid=dcf0efee6f579660&cmp=Legs-Eleven-Ltd&ti=Social+Media+Specialist&vjs=3
Brand and Social Media Ambassador,Vera Cultivation,Vera CultivationColorado,Not listed,"$50,000 - $55,000 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnK00Vb3Ebd7nmxxpDEXO_LhbgegEo328L556HxT05gjgzpDh1q-hgNkKhjB-I7O_mk2W-ZnSZjhp1E1W6J_Ow-DMfUKeodKu4Tsu5b3jhjzn5KbMNqOnOS6rFVPZWRnHPd5yY5ny4x-IF37A-9ABBeGNlZ0WALuGsNG9UjZWLz_CvA5N26cZoyAg9159oJHM-8zwwuA8iug53CrmRmUJbautvP10cNskKCmzZOIC4RL8sihdKCVSfKliggBJiyuON-QT1DHBis4gYXYKqnPOsMAct3CRN-NeKH9uQLOWRfb_E2qSc6UTD3TV5AJGB6RGalvkV4ZEfWot4XZYrYoh_yux4uNQeFgMkdEZSyzjQHkFzWY2D0rVDhyO7Y3nf5Tcx_lcFEZpqlF9bRwYkVQM_yKaxb0cyXICY8AkYQOhBjNuZIv1K96WnUmAmQVBTIMradBCxyK4ufMKuU0LEZbDlLl9P58Dq9YoG4wEEummG0fP5mRND18aeBByGu72S6cKF2OHDCYqylH_m1QEX3ZTylz3-gxE81fcEuXNNuvJKhHJ9OmpC3oA2rCgx2HU9xoia7c2LYhpD8hdN8W3eZbiyL-UQAMEt4_5NYdCtac5XiyKtGxL3SLGNvDQb7Xx4ndY=&xkcb=SoBA6_M3E7y87vSsKB0CbzkdCdPP&camk=4HOcmqOLYrD_krWZrqE7Yw==&p=9&fvj=1&vjs=3
Now Hiring Roadie/Event Assistant,3 West Productions,"3 West ProductionsLancaster, PA",Not listed,$200 a day,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvbsuIVMfVECBZWl3-NrdTzz1iKxVXDbKQVs-DkFXSog3ox_yWS48R-DxVxotbIt7AA1i6oEBATL5BB6vSDXI0ycxUgEmZeQE7GHG-DijaNYVTC4cgdMSQiKUWN1ba0m6dHZa-at8NAaj3ZeSdw-paZONPETKfworqcQZFQe-VFjr43EwdtuHjVVql2Mw36_ET6xiYVu98mXsohrU_SppXZXFbsSWvCTMMlhQ7e0XsrwppIFbgrcaptUgKyUC0bJmsGFliXA5IqVQt2O5J4ecjUGI16saye36kBhoWXugBmGfxmQuKWfkr3a0AYy_h91RguqqDrvhxBnjd3DVNXiF-lSAftUmTZORElBl01X4FnJQSWd36W5zJG5X-EykT66YNJTJ8wWrOpHzlaXPUbIZjrmWv5itCwiYFuNs1VFnVWyMJwz9os3DaKz6MtKKtEb2Y1gk4cQPS9esxEbMrsvNcHWoPCeXuvDWPzxMIKGm6mxHC3Ay4zq77hGM7Og0JdqaaWfnx2CXL-I2BWK-BbXOfHlH4GusNoC61A4P0r26X8jGQ3eVS-hl1gKJ9wAG3j0fzivZhTto_8_lfxLdqvkackVcPdtitbvSeUeGeKO769dve_nPkMGtp&xkcb=SoDd6_M3E7y87vSsKB0BbzkdCdPP&camk=4HOcmqOLYrBkZQ2rM5OM2Q==&p=10&fvj=1&vjs=3
"Coordinator, Social Media (Tik Tok) - Temporary",National Hockey League (NHL),"National Hockey League (NHL)New York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=52cece1e89738ac6&bb=tUTtLuNxgyMexxqgBXC7-nJVNpG_YqMCk2a_lRTfhm9gO5-5D-tIJik-qUiaoxHLD6OJIBiF4wKhjgBIeUH4V-AUPCrO5V6E7ms5Zapgn_s%3D&xkcb=SoCd67M3E7y87vSsKB0AbzkdCdPP&fccid=9636c525266d3ed0&vjs=3
Social Media Manager,Foodinis catering,Foodinis cateringRemote in New Jersey,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=3390fe443892ad15&bb=tUTtLuNxgyMexxqgBXC7-lolcBUupeNYK-VPImGzgrv2TSkvy3rPWjNZUg-ofeBTkTH1UzzZU6RjjCNrhmnVIMUpCzkpnCGOqglxpiDG3rM%3D&xkcb=SoAT67M3E7y87vSsKB0HbzkdCdPP&fccid=397ef97bdcc305e5&cmp=Foodini%2527s-catering&ti=Social+Media+Manager&vjs=3
Social Media Influencer,Why Main Street,Why Main StreetRemote,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=9cd87649961ca77b&bb=tUTtLuNxgyMexxqgBXC7-piLzgUR_9Ip23N6fi06_3_JDD3reDQYpjbE342Pn0cqcmcy99fqG1a6qb9Nkbh3d3684DHTEx10uM9V24ag3vs%3D&xkcb=SoCn67M3E7y87vSsKB0GbzkdCdPP&fccid=83bdca5418063030&cmp=Why-Main-Street&ti=Social+Media+Specialist&vjs=3
"Specialist, Social Media and Influencer Strategy",Chanel,"ChanelHybrid remote in New York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=2c2ed5a45c180519&bb=tUTtLuNxgyMexxqgBXC7-mI-Q5D2HY-uwEG8DEm-UZSNTzACWEMV4DaQrk_96B0B15Lwggp1a-BvkiKz7LvSIwRAem92aaOBZNriVAQ0wgM%3D&xkcb=SoA667M3E7y87vSsKB0FbzkdCdPP&fccid=99a9c7df17db8fc8&vjs=3
Social Media Coordinator,Associated Mortgage Brokers,"Associated Mortgage BrokersPortland, OR",Not listed,$20 - $30 an hour,Not listed,https://www.indeed.com/rc/clk?jk=fc112b4fdbc10c17&bb=dEP6YqtiHuzSBbMT3JHag0Hr-1_cCT2wvbZPm08RIZ9qx8BzXqbS3_JVwnOWKFCb2qEaTalmY_e8Pnc8XSuW6XILQQbbENycgkgC1IPEwsE%3D&xkcb=SoBg67M3E7y8tTRNCZ0LbzkdCdPP&fccid=9d98ff7e78f1e09d&cmp=Associated-Mortgage-Brokers&ti=Social+Media+Coordinator&vjs=3
Social Media Apprentice,"Houston Astros, LLC","Houston Astros, LLCHouston, TX 77002 (Downtown area)",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=aaa1eec41ac1230e&bb=dEP6YqtiHuzSBbMT3JHag0YVJg9n4IKj61b8L5bfpd0NuMjqb6zzlNXrPr1q-tQeobzmaeuX1tCnXvjUvKidterRRjmpTXxi3mujBiWCgoQ%3D&xkcb=SoDU67M3E7y8tTRNCZ0KbzkdCdPP&fccid=65aaa52f5757e1b4&vjs=3
Board Operator,Marathon Petroleum Company LP,"Marathon Petroleum Company LPCarthage, TX 75633",Not listed,Full-time,Not listed,https://www.indeed.com/rc/clk?jk=4ec19f006ef1391f&bb=dEP6YqtiHuzSBbMT3JHagylo-1WaDiviKpUCQJ1mqzPFqZizPBy5PjHgcs8qhx-gldyLB1CyBeI4g4TRzutQI2pAZkpHQgVx851MCpGAL_k%3D&xkcb=SoBJ67M3E7y8tTRNCZ0JbzkdCdPP&fccid=c2420cdb8142e98a&vjs=3
Social Media Manager,Vicarious,"VicariousSeattle, WA",Not listed,Freelance,Not listed,https://www.indeed.com/rc/clk?jk=e99001b25f727c63&bb=dEP6YqtiHuzSBbMT3JHagzHEvZ_onrSCS0CEpWBptBzJV1cdHeBlG7jGRrgi59h7cxWMGVTac_OKI-OXkyGnRXaTdK-Voukm_Z6aEZSPizI%3D&xkcb=SoD967M3E7y8tTRNCZ0IbzkdCdPP&fccid=df9fefa1627b6c86&vjs=3
Social Media Specialist,WinSummit,"WinSummitNew York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=bf786bb51cdaeffb&bb=dEP6YqtiHuzSBbMT3JHag2Z6O1BkGi7JTEn7dcqaPE4hEDlJVN32aSqDUcypJAi_AaQ7E0TID4ZVuraFM3cNGJKDvha7L7X9a336oYD64fw%3D&xkcb=SoBz67M3E7y8tTRNCZ0PbzkdCdPP&fccid=1e2bba9baf726812&vjs=3
