Title,Company,Location,Skills,Salary,Description,Apply Link
Part-Time Student Social Media Content Creator-Summer,Indiana University,"Indiana UniversityBloomington, IN",Not listed,$13 an hour,Not listed,https://www.indeed.com/rc/clk?jk=8dcf0e815aeea9a6&bb=tzmbmMi3UwZzVLlGD29ejfpNZvcZ2XfoUW3VXBGpVgYFcmN0Goxmq9IeqEokDPx8uFdl3g1QVhFOG5yfeuTexOwHdkdZmCNZSOU7nBsheDA%3D&xkcb=SoDX67M3E7y8StQu950WbzkdCdPP&fccid=8b8af8e5cb513470&vjs=3
Social Media Specialist,Redfin,"RedfinSeattle, WA",Not listed,Full-time,Not listed,https://www.indeed.com/rc/clk?jk=4227bef49d5f1602&bb=bK_kxPnHLGNdN6yyP_TVGdysjUx44zNE9ZtYh-TlQ-Vki5Vs4dvITaJ4duBcS0X5TwyFsk1l0sKxeqigdSSRM2OGD5yRzhjfQLTLd1H225Q%3D&xkcb=SoDT67M3E7y8a8S2CJ0LbzkdCdPP&fccid=ccaacd9cca9fffe8&vjs=3
Video Editor/Social Media Content Creator,Bayer Creative Imaging,"Bayer Creative ImagingNeenah, WI",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=26bb72e5c27e5c86&bb=bK_kxPnHLGNdN6yyP_TVGTBW1hOgrvAW7JUSvsI8GVOu9qdNth6PEKKebsYqlem3pwS8qx0FdwxERsWBGn60rlk9gRl7MfxJEAKCJzI9KBc%3D&xkcb=SoBn67M3E7y8a8S2CJ0KbzkdCdPP&fccid=b05aef7673542718&cmp=Bayer-Creative-Imaging&ti=Content+Writer&vjs=3
Social Media Manager,Genesys,GenesysCalifornia,Not listed,Full-time,Not listed,https://www.indeed.com/rc/clk?jk=b65811e4388036fc&bb=bK_kxPnHLGNdN6yyP_TVGSN2K0lge93SBdpWOilQ0xhwpwDfK8ZlYzjqGbI2gEZvcsieDCSmIfCVDK9_n3rOFh1SbXhCpKA2OZYAZwgPoBk%3D&xkcb=SoD667M3E7y8a8S2CJ0JbzkdCdPP&fccid=78ba8c9950e5297a&vjs=3
Paid Media Specialist,"Amerilife Group, LLC","Amerilife Group, LLCRemote",Not listed,Full-time,Not listed,https://www.indeed.com/rc/clk?jk=d1cfda4c128e846a&bb=bK_kxPnHLGNdN6yyP_TVGcCodwSPkdSoO1qrtCSE8LojH1rD6q1g_uyg6nAQjddumo_CkNRk56vj8YZwLqErTjVO9js5DfzMQMpE6uAfrDo%3D&xkcb=SoBO67M3E7y8a8S2CJ0IbzkdCdPP&fccid=0b9cf82749ecf6ec&cmp=AmeriLife&ti=Paid+Search+Manager&vjs=3
Social Media Manager,Insight Creative Business Solutions,"Insight Creative Business SolutionsBelgrade, MT 59714",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=61e45f0d6a4589d1&bb=bK_kxPnHLGNdN6yyP_TVGagT-8KSDxKHdSXSPs_qufhkUmt5VdCVzyx_LoAB11FXYJFFykDEPQuoMoB8RWXhiH4Cc2hHw199BsUecHPlCCc%3D&xkcb=SoDA67M3E7y8a8S2CJ0PbzkdCdPP&fccid=e8f8ef8cd9ad2a36&cmp=Insight-Creative-Business-Solutions&ti=Social+Media+Manager&vjs=3
Social Media Content Coordinator,Tennessee Kids Belong,"Tennessee Kids BelongHybrid remote in Knoxville, TN",Not listed,$20 - $25 an hour,Not listed,https://www.indeed.com/rc/clk?jk=419b17be3aca8d4a&bb=bK_kxPnHLGNdN6yyP_TVGYVH-YftY3Xg1ipaUusCBpdN36_S7bGEerFCnnTW7hF_foDV4qC0ivgA1K5CtfPPWZxvjd5Cocc3uI6YPJUAtdI%3D&xkcb=SoB067M3E7y8a8S2CJ0ObzkdCdPP&fccid=68b278e2b3280d4b&cmp=Tennessee-Kids-Belong&ti=Social+Media+Coordinator&vjs=3
Social Media Manager,Warner Bros. Discovery,"Warner Bros. DiscoveryAtlanta, GA 30318 (Home Park area)",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=58ae752c0b852281&bb=bK_kxPnHLGNdN6yyP_TVGfAzZfeqXgRJgLcwtwiUpG6MuYIAzpUNwgfBVO9j_IN5nbbKm70nLA3eNn5Y3QTm1DjxAOPRPGQq86y1XoOin04%3D&xkcb=SoDp67M3E7y8a8S2CJ0NbzkdCdPP&fccid=fdb210f6a49b1c13&vjs=3
Social Media Assistant,Versa Marketing,"Versa MarketingOrlando, FL",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=e88ae843c0db9df0&bb=bK_kxPnHLGNdN6yyP_TVGRC5z-0ic1PMOuY6pxxfRsFub-NeextwFna-CRfR8lxwfLe5GRC2LxO8PRfOYbZOGQGeSKNbNPEzBHApcvvf3w8%3D&xkcb=SoBd67M3E7y8a8S2CJ0MbzkdCdPP&fccid=c03c557473740af6&vjs=3
Social Media Marketer,RF Restaurant,"RF RestaurantGarden Grove, CA 92841",Not listed,From $20 an hour,Not listed,https://www.indeed.com/rc/clk?jk=3d9ade05ec2ff8f3&bb=bK_kxPnHLGNdN6yyP_TVGZZqt0jSQ-E-NJIegkYBGS4xsvdbJDcwI_1aGQlhE86LUMi5RHuNkLFiZtiIRGf4x-GmU4qEFT81J2dKfkgB6fc%3D&xkcb=SoC067M3E7y8a8S2CJ0DbzkdCdPP&fccid=71f0a75e9c154b79&cmp=RF-Restaurant&ti=Social+Media+Specialist&vjs=3
Social Media Manager/Administrative Assistant,Electronic Interiors,"Electronic InteriorsDallas, TX 75207 (Design District area)",Not listed,$15 - $17 an hour,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHYvnyJjYjXfdoLoD8RAOL086y_5qyIex86lzclu9n-kbhJp6AJSxi1GO4xTO1yzFuLY5EqxRYntxzaetPbA3rJ3QxC5-YnaEoPBdA-3wsAu6MOlnR-RwIT24nR5_6QERSGjR1G6r7kJv-Y1vaKvfu0raNFa_nRXp2Oir2kfQvUnXNrBYwaLCqlczYUB8hsgzPtA6QXAk_CLMqxNQDvgxmHsKs0tMCU0RhqbkdJYlYx1Jbbx4kXW845_RzJVUKZ3hJgXrZ2T1hX5byeMcqZnWbvv_TWk4EdRXKoSRGfOjoJxDf7SikVJW-wJf0ASV6uMMxqJMMB-E_R4faGVBkOAovS8BUgrQ26WkgeGm0y_LEweaH7a_Gvq5fH0Z_G4IPdIBqTqiJUOMtXjZhf_SPFLLjPZs9R4GD6jSuGgd-dsehPYi6IOWrmouksqccjmEfzvwC7M9ury1o7ULfhTt0EH23QNYKw-gO4VF-k8nSQghvwJn_0D5QAZI-WQ_RyhiEZgAK2F53y4cPXuloGm7WpM1K56pGFJXOZJjP3ucwbZfLOdcNjceXZxLy3VccCRQ07IMpf3D5Tw57vYcwVI13l5Ry1RfdWucJ9Um3yGI6F1UjY9XKIsJ_J83CGqynpKTCJJPJtdaD-bR8e8zbSNWb8EHJ&xkcb=SoD06_M3E7y8a8S2CJ0CbzkdCdPP&camk=4HOcmqOLYrBD9XYGY3axnQ==&p=9&fvj=1&vjs=3
Sports Videographer and Editor for Social Media Content,Mystic Pointe Sports,"Mystic Pointe SportsAventura, FL 33180",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=3657ea3b374c1c57&bb=bK_kxPnHLGNdN6yyP_TVGcJTwPk9pffnfaUbfVPi7sAfI-D7RNiWzuqNfT94vVCGDrC3WTfrzgSVwjiiGPIrNVKqGk1dwOz5vf0SRofINOI%3D&xkcb=SoCd67M3E7y8a8S2CJ0BbzkdCdPP&fccid=81f64355e0b91356&cmp=Mystic-Pointe-Sports&ti=Videographer%2Feditor&vjs=3
Content Writer,Steyer,SteyerRemote,Not listed,$35 - $42 an hour,Not listed,https://www.indeed.com/rc/clk?jk=47a32044f05e2bbf&bb=bK_kxPnHLGNdN6yyP_TVGVU1mnnsyUeg_krcs-4_1lQ6kpEvTuqWGcONfvZt0adFI6IHNs5V5Xr8m1RJ9-Ygfmmj8uZBHe_tXaORhJhauOg%3D&xkcb=SoAp67M3E7y8a8S2CJ0AbzkdCdPP&fccid=ac5b54c450d29b96&vjs=3
Social Media Ecosystem Manager,Hill's Pet Nutrition,"Hill's Pet NutritionHybrid remote in Overland Park, KS",Not listed,"$91,200 - $128,000 a year",Not listed,https://www.indeed.com/rc/clk?jk=06ebe0059666500c&bb=bK_kxPnHLGNdN6yyP_TVGSMYQqDPm8Z5fT_mrL1dE7ilO84_aU-aVqao7wcdcEkOr5YfFY_IaqBAQXVg8LRlk_7yqQQfDCrUmKLN8Ek-Dh4%3D&xkcb=SoCn67M3E7y8a8S2CJ0HbzkdCdPP&fccid=8ffd82d10d56fd60&vjs=3
Social Media Sales & Marketing,TheCoolestGiveaways,TheCoolestGiveawaysRemote,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=57ee2e569f6f6836&bb=bK_kxPnHLGNdN6yyP_TVGfAzZfeqXgRJUK8qtlBLpmJAgXOIoV2Gj12izudGPWH9rw6k_BMcQpOgYikyTYR5adSapDjl5Yb0ZvKjyBR506Y%3D&xkcb=SoAT67M3E7y8a8S2CJ0GbzkdCdPP&fccid=79417aede78da455&cmp=TheCoolestGiveaways&ti=Social+Media+Specialist&vjs=3
Social Media Coordinator Internship,Seva Integrated Therapy,Seva Integrated TherapyColorado,Not listed,$19 - $20 an hour,Not listed,https://www.indeed.com/rc/clk?jk=dc9ed7d6a088dd6e&bb=bK_kxPnHLGNdN6yyP_TVGarYL8JqZgWrjYeGltKPNBgpawuxNYdiGjpq-8QzQzi-_R0Kxa-XImqbXr6lvYRdSHOcVQBsZT0Iy16SzpZrdkg%3D&xkcb=SoCO67M3E7y8a8S2CJ0FbzkdCdPP&fccid=f47fe8ade8700858&cmp=L--EVATION-Promotions&ti=Social+Media+Coordinator&vjs=3
Paid Media Specialist,Hyperice,"HypericeHybrid remote in Irvine, CA 92618",Not listed,"$70,000 - $80,000 a year",Not listed,https://www.indeed.com/rc/clk?jk=490ade5c69ca1d3e&bb=Bx33aS1K6pBID8u1ZmHGd_Qfx8eWL09I1rE5MQG-UU9xRDyH70kscH0srjNf4E9crt8uWUt9xxrOPyuGMaWnJRGB25uDQulmnyyI6YM1_CApW6R4R_RZgA%3D%3D&xkcb=SoDX67M3E7y8FbQ3750LbzkdCdPP&fccid=8e9ef7b576c641cb&cmp=Hyperice&ti=Paid+Search+Manager&vjs=3
Social Media Specialist,Center For Energy and Environment,"Center For Energy and EnvironmentMinneapolis, MN 55401 (North Loop area)Target Fld Station & Rail Platform",Not listed,$26.90 - $28.35 an hour,Not listed,https://www.indeed.com/rc/clk?jk=73018fe497e790d4&bb=Bx33aS1K6pBID8u1ZmHGd7u8R65Cm3500H1YyEjfN5cX0FlMeqx5PxH_CcRYMrycWxlGppMfta8KwCtpwoTHby-MJIifakRC5EWQcwZc5LQ%3D&xkcb=SoBj67M3E7y8FbQ3750KbzkdCdPP&fccid=0683f02d906f6432&vjs=3
Social Media Specialist,Simpson Thacher & Bartlett LLP,"Simpson Thacher & Bartlett LLPNew York, NY 10017 (Midtown area)",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=5b9e86c40641c9fa&bb=Bx33aS1K6pBID8u1ZmHGdyprApLNGJRyIQru9Q_3yHazwLDE50RDHTY_xaYAI0aWlZcPpj5jHAoGYAs-Ssnof0De-QHei2dO7Ud7jBNHZqs%3D&xkcb=SoD-67M3E7y8FbQ3750JbzkdCdPP&fccid=49efeede38f70572&vjs=3
Social Media Manager,Redxam,"RedxamSan Francisco, CA 94133 (North Beach area)",Not listed,$20 - $35 an hour,Not listed,https://www.indeed.com/rc/clk?jk=b6d8d1c73bc3a748&bb=Bx33aS1K6pBID8u1ZmHGd7MDYb5pEtSxEPs54SYnsIwxaD8jXPtpRAS4k1L4ZA27XxVMh_M425a1hv_3Wr2clYQr5bU3sMWuYHLQtFAfKNY%3D&xkcb=SoBK67M3E7y8FbQ3750IbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Redxam&ti=Social+Media+Manager&vjs=3
Administrative & Social Media Assistant,Hampton Golf,"Hampton GolfSarasota, FL 34240",Not listed,$20 - $25 an hour,Not listed,https://www.indeed.com/rc/clk?jk=3f2c5baf70574d18&bb=Bx33aS1K6pBID8u1ZmHGd59sXWqDvX3sZ30R7ijUQhRIzc31_szQ8nm7QfntQIQDUDc_fVf83sMY-meVHPIjfjn-pUXlngBFp6FB2V4pEIo%3D&xkcb=SoDE67M3E7y8FbQ3750PbzkdCdPP&fccid=76a10ac54b46bdd1&vjs=3
Senior Social Media Specialist,Holiday Inn Club Vacations,"Holiday Inn Club VacationsRemote in Orlando, FL 32819",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=3f0087a94d71bb38&bb=Bx33aS1K6pBID8u1ZmHGdwpBE7Wn829on6VH5sdkYxO4RyfFtBJNeUd5yEYCgpv1XGyWkqMm4-8B5BDsJgdQAGCbEItCkLynI8tdfIGOlW8%3D&xkcb=SoBw67M3E7y8FbQ3750ObzkdCdPP&fccid=586ff15a77ff4338&vjs=3
Marketing/Social Media Specialist & Administr,The Legacy Green Bay,"The Legacy Green BayGreen Bay, WI 54304",Not listed,$21 - $22 an hour,Not listed,https://www.indeed.com/rc/clk?jk=6c9aa1d8ec5d0036&bb=Bx33aS1K6pBID8u1ZmHGd52JV0_q9Zq_UYF0mcXrj9Zi4Ro-0IGUw219VrEtewQTgBFLcetLdTjUrQvcQDWh9g6f0qRgEM7C0D2utM2kyxg%3D&xkcb=SoDt67M3E7y8FbQ3750NbzkdCdPP&fccid=7cc2de5b32396d46&vjs=3
Social Media Content Creator,Christopher Kimball's Milk Street,"Christopher Kimball's Milk StreetBoston, MA 02109 (Downtown area)Atlantic Ave & State St Marriott Hotel",Not listed,"$50,000 - $55,000 a year",Not listed,https://www.indeed.com/rc/clk?jk=3f994ddf0b1072ef&bb=Bx33aS1K6pBID8u1ZmHGd2cMwXAD0ipTTbhRTequPhEFRmyqYNXtVBVoqtIWcPuuKvUYmquvmsNRYn4tK2K0R6T0SlBMBjeMJkPIgt8kZ9o%3D&xkcb=SoBZ67M3E7y8FbQ3750MbzkdCdPP&fccid=19bc6bc681e60806&cmp=Christopher-Kimball%2527s-Milk-Street&ti=Content+Writer&vjs=3
Social Media Manager,Rivian,"RivianLos Angeles, CA",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=45f62d6cef188618&bb=Bx33aS1K6pBID8u1ZmHGd8IFzeBYGPVApjtzszpH8qiMAjkNK-bVgfb4w0ixe2q48eB4qgqD0QMqdWxMCmrV9nvTWxtG-4goXYAvAH7iFcY%3D&xkcb=SoCw67M3E7y8FbQ3750DbzkdCdPP&fccid=ab392afaee93f976&vjs=3
Social Media Manager,dmd lawn & landscaping,"dmd lawn & landscapingBattle Creek, MI",Not listed,$12 - $17 an hour,Not listed,https://www.indeed.com/rc/clk?jk=8c78268eff94c8d3&bb=Bx33aS1K6pBID8u1ZmHGd_wUKPJ-cB0uYi1ZCfdZ715qhNCEQktdQQCqUBzBe0_8C2PGz4igWn6SYIZ7z7C4pMudTAyCprIp1BCWTvLRoxY%3D&xkcb=SoAE67M3E7y8FbQ3750CbzkdCdPP&fccid=da23be3fd7a19292&cmp=dmd-lawn-%2526-landscaping&ti=Social+Media+Manager&vjs=3
"Producer, Social Media-Newsgathering",Warner Bros. Discovery,"Warner Bros. DiscoveryWashington, DC 20002 (Capitol Hill area)",Not listed,"$59,500 - $110,500 a year",Not listed,https://www.indeed.com/rc/clk?jk=12eeb2a769b946db&bb=Bx33aS1K6pBID8u1ZmHGd8IFzeBYGPVAY5TYm5iH-8YdIe6R_QtB_7iCcCoQJTn4Xb9ebyHjvVO5yeBiQtZOzT0g28X0dEU-zZsJojlA_KY%3D&xkcb=SoCZ67M3E7y8FbQ3750BbzkdCdPP&fccid=fdb210f6a49b1c13&vjs=3
Paid Media Manager,LMHI LLC,"LMHI LLCChicago, IL 60611 (Streeterville area)State & Bellevue",Not listed,$22 an hour,Not listed,https://www.indeed.com/rc/clk?jk=248dfc0503177880&bb=Bx33aS1K6pBID8u1ZmHGd-aEzx_yOAcC4RjWl00wbEa-gte99C8ioJJXCg3NhQJbeXxYps3NVWc94Chy08Yma_NYxGiCfLFFKl34yIvdB5Y%3D&xkcb=SoAt67M3E7y8FbQ3750AbzkdCdPP&fccid=3060ce9b54b784b1&cmp=Community-Lawyers-Group%2C-Ltd.&ti=Media+Manager&vjs=3
Freelance Social Media Marketing Professional,Halo Productions,"Halo ProductionsHybrid remote in Rockaway Beach, NY 11693",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=45340339961cfb05&bb=Bx33aS1K6pBID8u1ZmHGd33TIRao7r7QeWaNdjaMVHCTOdvUqL7d1Q3G0Dhrxd6Q0a1SehRV1AEyhz2f60q8PFuY7-qfQ6Vv1CYlrm-76VPc_Jbt866XBA%3D%3D&xkcb=SoCj67M3E7y8FbQ3750HbzkdCdPP&fccid=913f4dcda25810c6&cmp=Halo-Productions&ti=Social+Media+Specialist&vjs=3
"Paid Media Coordinator, A&F Co. (Remote)",Abercrombie and Fitch Co.,"Abercrombie and Fitch Co.Remote in Columbus, OH",Not listed,$18.50 - $23.00 an hour,Not listed,https://www.indeed.com/rc/clk?jk=b5efe0978e158047&bb=Bx33aS1K6pBID8u1ZmHGd7hy5lirpHju5ebyaWXGXTEh9xDy5cclxErpyKLHnjTpoWhjpkhiLhJuPVJgJ8Nf6g2TeYZhlF42bBEHaqaB41Y%3D&xkcb=SoAX67M3E7y8FbQ3750GbzkdCdPP&fccid=05cb80f355ecde16&vjs=3
Social Media Assistant,Kin and Kasa,"Kin and KasaKaty, TX",Not listed,$10 - $12 an hour,Not listed,https://www.indeed.com/rc/clk?jk=90859fe353ab7a86&bb=Bx33aS1K6pBID8u1ZmHGd1qcg9UBz_jfohtW6CFBrvfaR_CKTLv8R55GiLYaQ7CUaOqpSTrJBrSFxUB8XrUd7bni2SlB_WnDoB0DwvWn8Tk%3D&xkcb=SoCK67M3E7y8FbQ3750FbzkdCdPP&fccid=91d40bc072d88722&cmp=Kin-and-Kasa&ti=Social+Media+Specialist&vjs=3
